,Station,Grid.ID,LAT,LON,Gear.Sampled,Mean_Z,BONGO_Time,CTD_Time,LINE8_Time,Total_Gear_Time
230,229,HN177,56.691,-153.0988,BONGO,148.6666667,0.357654922,0,0,0.357654922
231,230,HL177,56.8058,-153.3102,BONGO,169.8469388,0.394362554,0,0,0.394362554
232,231,HL175,56.6848,-153.5195,BONGO,152.4117647,0.36414557,0,0,0.36414557
233,232,HN175,56.57,-153.3075,BONGO,91.77011494,0.259047232,0,0,0.259047232
234,233,HP175,56.4501,-153.0944,BONGO,44.5,0.177123166,0,0,0.177123166
235,234,HP173,56.332,-153.2968,BONGO,47.25,0.181889204,0,0,0.181889204
236,235,HN173,56.4491,-153.5155,BONGO,79.10714286,0.237100973,0,0,0.237100973
237,236,HL173,56.5639,-153.7281,BONGO,74.44927536,0.229028401,0,0,0.229028401
238,237,HJ173,56.6787,-153.9414,BONGO,60,0.203986291,0,0,0.203986291
239,238,KODIAK,57.78385,-152.4267,Port,NA,0,0,0,0
