x,y,xy,longitude,latitude
hl,159,hl159,-155.1718579,55.71491483
hl,161,hl161,-154.9693382,55.83494474
hl,163,hl163,-154.7711253,55.95206443
hl,165,hl165,-154.5561,56.08004
hl,167,hl167,-154.3501,56.20099
hl,169,hl169,-154.1434,56.32195
hl,173,hl173,-153.7281,56.56386
hl,175,hl175,-153.5195,56.68482
hl,177,hl177,-153.3102,56.80577
hl,179,hl179,-153.1002,56.92673
hl,181,hl181,-152.8895,57.04769
hl,183,hl183,-152.6781,57.16864
hl,185,hl185,-152.466,57.2896
hl,187,hl187,-152.2533,57.41056
hl,189,hl189,-152.0398,57.53151
hl,191,hl191,-151.8257,57.65247
hl,193,hl193,-151.6108,57.77343
hl,195,hl195,-151.3952,57.89438
hl,197,hl197,-151.1788,58.01534
hl,199,hl199,-150.9617,58.1363
hl,201,hl201,-150.7439,58.25725
hl,203,hl203,-150.5254,58.37821
hl,205,hl205,-150.3061,58.49916
hl,207,hl207,-150.086,58.62012
hl,209,hl209,-149.8652,58.74108
hl,211,hl211,-149.6436,58.86203
hl,213,hl213,-149.4212,58.98299
hl,215,hl215,-149.1904615,59.10737226
hl,217,hl217,-148.9665769,59.22811596
hl,219,hl219,-148.7426923,59.34843384
hl,221,hl221,-148.5188076,59.46832687
hl,223,hl223,-148.294923,59.58779604
hl,225,hl225,-148.0710384,59.70684232
hl,235,hl235,-146.9516153,60.29576502
hl,237,hl237,-146.7277307,60.41229479
hl,239,hl239,-146.5038461,60.52840865
hl,241,hl241,-146.2799614,60.6441076
hn,121,hn121,-158.7908209,53.251538
hn,123,hn123,-158.5918027,53.37682992
hn,125,hn125,-158.3927845,53.50175433
hn,127,hn127,-158.1937663,53.62631169
hn,129,hn129,-157.9947481,53.75050251
hn,131,hn131,-157.79573,53.87432727
hn,133,hn133,-157.5967118,53.99778649
hn,135,hn135,-157.3976936,54.12088066
hn,137,hn137,-157.1986754,54.24361031
hn,139,hn139,-156.9996572,54.36597594
hn,141,hn141,-156.800639,54.48797809
hn,143,hn143,-156.6016209,54.60961728
hn,145,hn145,-156.3562251,54.75481342
hn,147,hn147,-156.1592188,54.87443602
hn,149,hn149,-155.9500158,55.00107694
hn,151,hn151,-155.7476334,55.1232098
hn,153,hn153,-155.545251,55.24497029
hn,155,hn155,-155.3428686,55.36635899
hn,157,hn157,-155.1404862,55.4873765
hn,159,hn159,-154.9381038,55.60802341
hn,161,hn161,-154.7357214,55.72830032
hn,163,hn163,-154.533339,55.84820784
hn,165,hn165,-154.3309566,55.96774659
hn,167,hn167,-154.1285742,56.08691717
hn,169,hn169,-153.9261918,56.20572021
hn,171,hn171,-153.7228,56.32812
hn,173,hn173,-153.5155,56.44908
hn,175,hn175,-153.3075,56.57003
hn,177,hn177,-153.0988,56.69099
hn,179,hn179,-152.8894,56.81195
hn,181,hn181,-152.6794,56.9329
hn,183,hn183,-152.4687,57.05386
hn,185,hn185,-152.2573,57.17482
hn,187,hn187,-152.0452,57.29577
hn,189,hn189,-151.8324,57.41673
hn,191,hn191,-151.6189,57.53769
hn,193,hn193,-151.4047,57.65864
hn,195,hn195,-151.1897,57.7796
hn,197,hn197,-150.9741,57.90055
hn,199,hn199,-150.7577,58.02151
hn,201,hn201,-150.5406,58.14247
hn,203,hn203,-150.3228,58.26342
hn,205,hn205,-150.1042,58.38438
hn,207,hn207,-149.8848,58.50534
hn,209,hn209,-149.6647,58.62629
hn,211,hn211,-149.4439,58.74725
hn,213,hn213,-149.2223,58.86821
hn,215,hn215,-148.9796622,58.99897129
hn,217,hn217,-148.7533777,59.12128638
hn,219,hn219,-148.5270933,59.24316636
hn,221,hn221,-148.3008088,59.36461223
hn,223,hn223,-148.0745244,59.48562498
hn,225,hn225,-147.8482399,59.60620563
hn,227,hn227,-147.6219555,59.72635519
hn,229,hn229,-147.395671,59.84607467
hn,231,hn231,-147.1693866,59.96536509
hn,233,hn233,-146.9431021,60.08422747
hn,235,hn235,-146.7168177,60.20266284
hn,239,hn239,-146.2642488,60.43825667
